TREATMENT,YEAR,TO_STREET,PROJECT_ID,COMMENTS,Shape__Length,OBJECTID,the_geom,CREATED_BY,MODIFIED_DATE,PW_CURRENT_YR_SERVICE_PLAN_ID,FROM_STREET,FULL_STREET_NAME,CREATED_DATE,MODIFIED_BY,PROJECT_DESCRIPTION
SLCT6,2022,Bay City Bnd,97218,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",392.3693001,279,"MULTILINESTRING ((-97.667382214121 30.26010895486, -97.667460493068 30.260327341498, -97.667479934064 30.260425329666, -97.667496036476 30.260520305452, -97.667503044781 30.260575156428, -97.667499825244 30.260629794591, -97.667484046104 30.260707852236, -97.6674057123 30.261168424476))",BSHARMA,,345,Bay City Bnd,LANE CITY DR,8/22/2021 19:00,,SLCT6 on LANE CITY DR from Bay City Bnd to Bay City Bnd
Overlay,2022,Southridge Dr,116622,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",282.8920984,843,"MULTILINESTRING ((-97.776231997903 30.230259577554, -97.776420740419 30.230288098389, -97.776493955171 30.230302926483, -97.776562082793 30.230312509896, -97.776646807245 30.230318491616, -97.776725871101 30.230319354718, -97.776808454201 30.230311707032, -97.776888732935 30.230298980223, -97.776970738877 30.230282024848, -97.777110419596 30.230242375254))",BSHARMA,,847,Southway Dr,BANISTER LN,8/22/2021 19:00,,Overlay on BANISTER LN from Southway Dr to Southridge Dr
CRCKSL,2022,Hammermill Run,115883,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1264.895045,562,"MULTILINESTRING ((-97.748786521816 30.190057246843, -97.74604150167 30.188761407722, -97.746430261224 30.188076182258))",BSHARMA,,609,Hammermill Run,CANDLETREE LN,8/22/2021 19:00,,CRCKSL on CANDLETREE LN from Hammermill Run to Hammermill Run
SLCT6,2022,Staggerbrush Rd,97333,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",999.851861,369,"MULTILINESTRING ((-97.832505653385 30.236123305644, -97.832540018091 30.235986379812, -97.833935579823 30.233675822153))",BSHARMA,,440,Us Hwy 290 Svc Rd Eb  W,ROADRUNNER LN,8/22/2021 19:00,,SLCT6 on ROADRUNNER LN from Us Hwy 290 Svc Rd Eb  W to Staggerbrush Rd
CRCKSL,2022,Lamar Blvd N,116005,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1782.870512,680,"MULTILINESTRING ((-97.723317985243 30.320583766594, -97.723519357991 30.320640123017, -97.725835170168 30.321757135874, -97.726657532171 30.322151978717, -97.728259858894 30.322953328341))",BSHARMA,,731,Chesterfield Ave,NELRAY BLVD,8/22/2021 19:00,,CRCKSL on NELRAY BLVD from Chesterfield Ave to Lamar Blvd N
SLCT6,2022,Linscomb Ave,97068,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",699.236403,216,"MULTILINESTRING ((-97.764105813339 30.262985944486, -97.764461576961 30.262593372626, -97.764592755268 30.262518003324, -97.764734690922 30.26229908988, -97.765291326034 30.261383387313))",BSHARMA,,221,Sunset Vw,CLIFF DR,8/22/2021 19:00,,SLCT6 on CLIFF DR from Sunset Vw to Linscomb Ave
CRCKSL,2022,Pino Ln,115921,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1967.031963,626,"MULTILINESTRING ((-97.754434704754 30.19341858146, -97.754425422967 30.193289487047, -97.754399654297 30.193143476124, -97.754367550536 30.19307467656, -97.754314228096 30.193007292288, -97.754204445294 30.192897570877, -97.753270130428 30.192020646753, -97.752642146563 30.191499181138, -97.75173162899 30.190737440865, -97.750253779222 30.189501039842))",BSHARMA,,647,Stassney Ln E,DOVE DR,8/22/2021 19:00,,CRCKSL on DOVE DR from Stassney Ln E to Pino Ln
SLCT6,2022,San Gabriel St,96957,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1799.707451,66,"MULTILINESTRING ((-97.741972800641 30.296701363148, -97.743162455529 30.297250726575, -97.743562766712 30.297451340036, -97.743850607545 30.297561668891, -97.744370393298 30.297827951474, -97.744895725565 30.298094343907, -97.74557921117 30.298402432141, -97.746985847191 30.299056417462))",BSHARMA,,125,Guadalupe St,W 30TH ST,8/22/2021 19:00,,SLCT6 on W 30TH ST from Guadalupe St to San Gabriel St
SLCT6,2022,Jester Blvd,97171,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1022.712805,264,"MULTILINESTRING ((-97.798740345678 30.394524591844, -97.798862820422 30.394580011823, -97.799034428283 30.394652159868, -97.799270786159 30.394712694412, -97.799507633448 30.394754616748, -97.799976648271 30.39486988128, -97.800950790811 30.395067691154, -97.801221521099 30.395119829575, -97.801486623606 30.395134610072, -97.801879755073 30.395094714549))",BSHARMA,,301,7401,GUTHERIE DR,8/22/2021 19:00,,SLCT6 on GUTHERIE DR from 7401 to Jester Blvd
SLCT6,2022,Mildura Cv,97042,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1876.649748,194,"MULTILINESTRING ((-97.620319556101 30.388277234978, -97.619593831346 30.389390693536, -97.619176508366 30.390038723299, -97.619021350094 30.390285014836, -97.618943804711 30.390406951065, -97.618883628057 30.390519353192, -97.618846805384 30.39061247383, -97.618816553277 30.390734778048, -97.618798611536 30.390843961884), (-97.618794052113 30.391746983577, -97.618801437854 30.391939917646, -97.61880652979 30.392214325994, -97.618809459301 30.392414536936, -97.618810402066 30.392533183028, -97.618805155782 30.392719523831, -97.618792631388 30.392860108472, -97.61876249379 30.393018885858, -97.618726439354 30.393236809863, -97.618564131607 30.393990322021))",BSHARMA,,199,Gregg Ln,CANTARRA DR,8/22/2021 19:00,,SLCT6 on CANTARRA DR from Gregg Ln to Mildura Cv
SLCT6,2022,8110,97080,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",224.119648,169,"MULTILINESTRING ((-97.800635788429 30.393548611578, -97.800639884584 30.393939274878, -97.800627454411 30.394164580329))",BSHARMA,,231,Crabtree Dr,CRABTREE CV,8/22/2021 19:00,,SLCT6 on CRABTREE CV from Crabtree Dr to 8110
SLCT6,2022,Madera Dr,97053,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1867.52209,201,"MULTILINESTRING ((-97.736262213778 30.223021882322, -97.737001965644 30.221780417438, -97.737448266399 30.221082628094, -97.739038104745 30.218488273821))",BSHARMA,,206,Metcalfe Rd,CATALINA DR,8/22/2021 19:00,,SLCT6 on CATALINA DR from Metcalfe Rd to Madera Dr
Overlay,2022,Manor Rd,96892,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",207.6920798,38,"MULTILINESTRING ((-97.688269001208 30.297048257376, -97.687639675975 30.296881247028))",BSHARMA,,67,2500,MANOR CIR,8/22/2021 19:00,,Overlay on MANOR CIR from 2500 to Manor Rd
SLCT6,2022,Thornton Rd,97382,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",423.6416528,551,"MULTILINESTRING ((-97.77248487336 30.241108979073, -97.773685899369 30.241628041165))",BSHARMA,,481,1401,SUMMER CREEK DR,8/22/2021 19:00,,SLCT6 on SUMMER CREEK DR from 1401 to Thornton Rd
SLCT6,2022,Afton Ln,97049,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",621.1846287,198,"MULTILINESTRING ((-97.735708143409 30.205650971645, -97.734214794221 30.204957838348, -97.734019779555 30.204791610131))",BSHARMA,,203,Gregg Ln,CARTER LN,8/22/2021 19:00,,SLCT6 on CARTER LN from Gregg Ln to Afton Ln
SLCT6,2022,7910,97031,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",220.0729162,157,"MULTILINESTRING ((-97.80038781869 30.388646607367, -97.799953480513 30.38912029411))",BSHARMA,,189,Jester Blvd,BRICKLEBUSH CV,8/22/2021 19:00,,SLCT6 on BRICKLEBUSH CV from Jester Blvd to 7910
SLCT6,2022,Euclid Ave,96948,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",875.0281686,58,"MULTILINESTRING ((-97.753526660028 30.23876483651, -97.75410738548 30.239169828175, -97.754720529602 30.239534132277, -97.755779478768 30.240163350333))",BSHARMA,,117,Congress Ave S,W OLTORF ST,8/22/2021 19:00,,SLCT6 on W OLTORF ST from Congress Ave S to Euclid Ave
Overlay,2022,Baldridge Dr,116624,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",730.5456235,845,"MULTILINESTRING ((-97.789793179702 30.180119318606, -97.79084596887 30.178847593315, -97.790952313492 30.178415158826))",BSHARMA,,849,Mairo St,BEACONCREST DR,8/22/2021 19:00,,Overlay on BEACONCREST DR from Mairo St to Baldridge Dr
SLCT6,2022,Oltorf St W,97073,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",743.2806789,220,"MULTILINESTRING ((-97.75270707513 30.240811130562, -97.7537788099 30.239507910629, -97.75410738548 30.239169828175))",BSHARMA,,225,Congress Ave S,COLLEGE AVE,8/22/2021 19:00,,SLCT6 on COLLEGE AVE from Congress Ave S to Oltorf St W
Overlay,2022,Martin Ave,96818,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",315.8532096,4,"MULTILINESTRING ((-97.719744201435 30.312716428183, -97.71887293786 30.312288857451))",BSHARMA,,4,Evans Ave,E 50TH ST,8/22/2021 19:00,,Overlay on E 50TH ST from Evans Ave to Martin Ave
Overlay,2022,Davis Ln,96879,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",8611.646052,26,"MULTILINESTRING ((-97.875879568684 30.21457855905, -97.875994414011 30.214512996485, -97.876161840971 30.214074627923, -97.876302755999 30.213485834087, -97.876351383736 30.213224860209, -97.876284490155 30.213151960123, -97.876206192071 30.213226144879, -97.876147920753 30.213561218085, -97.876028135402 30.214033888869, -97.875850080883 30.21446801045, -97.875879568684 30.21457855905), (-97.874155691942 30.217446714139, -97.874249573055 30.217417411411, -97.874386858734 30.217132315463, -97.874541695001 30.21684692379, -97.874759901091 30.216487969025, -97.875436672516 30.215468513247, -97.875779465537 30.214913544504, -97.875904005366 30.214677294625, -97.875879568684 30.21457855905), (-97.874155691942 30.217446714139, -97.874107198369 30.217368748226, -97.874377410236 30.216896409466, -97.874669212101 30.216447889391, -97.874848898162 30.216121720617, -97.8750788672 30.215765823962, -97.875347722261 30.215363863924, -97.875490612238 30.215140782801, -97.875595528325 30.214942770174, -97.875697355979 30.214752866464, -97.875765407361 30.21461847475, -97.875879568684 30.21457855905), (-97.87332576061 30.221141506534, -97.873406591496 30.221104995516, -97.873794551551 30.218675497452, -97.874019358539 30.217883422377, -97.874191254558 30.217530069764, -97.874155691942 30.217446714139), (-97.87332576061 30.221141506534, -97.873254412185 30.221094179228, -97.873303571938 30.220799113115, -97.873407444822 30.220169951354, -97.873519148866 30.219547843129, -97.873604210463 30.219029265448, -97.873677794875 30.218649217858, -97.873741253186 30.218352171088, -97.873828318629 30.218069466473, -97.873940579827 30.217738703617, -97.874048856098 30.217483578764, -97.874155691942 30.217446714139), (-97.87332576061 30.221141506534, -97.873237466493 30.221190030289, -97.873112998562 30.221887882906, -97.873075765641 30.222129933081, -97.873028900235 30.222344818167, -97.872956141619 30.222559205825, -97.872868985421 30.22272835011, -97.87273965512 30.222928174571, -97.872579990176 30.223100436038, -97.872388342937 30.223268782476, -97.872217314822 30.223387305112, -97.872049932068 30.223472124386, -97.872001561152 30.22349492956, -97.871756004254 30.223603851025, -97.871681366903 30.223712866962, -97.871815816893 30.223732310153, -97.872050046818 30.223624215991, -97.872327146719 30.223471785904, -97.872655723027 30.223218117084, -97.872846925881 30.223001302142, -97.873020372265 30.222738051482, -97.87312605297 30.222457079853, -97.873193341317 30.222195090052, -97.873389445727 30.221208708493, -97.87332576061 30.221141506534))",BSHARMA,,55,Oliver Loving Trl,ESCARPMENT BLVD,8/22/2021 19:00,,Overlay on ESCARPMENT BLVD from Oliver Loving Trl to Davis Ln
SLCT6,2022,1719,97432,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1323.27634,476,"MULTILINESTRING ((-97.772702637728 30.240312549265, -97.77397028222 30.24090763917, -97.774775772356 30.241231765928, -97.775393025361 30.241128579813, -97.775993164783 30.240983794329, -97.776277735935 30.241003226808, -97.776543484414 30.241165299466))",BSHARMA,,519,1401,WATERLOO TRL,8/22/2021 19:00,,SLCT6 on WATERLOO TRL from 1401 to 1719
CRCKSL,2022,Cowdray Park,116045,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",236.6812202,745,"MULTILINESTRING ((-97.785117409652 30.466667880419, -97.785538130999 30.467207044976))",BSHARMA,,771,13200,SAXBY CT,8/22/2021 19:00,,CRCKSL on SAXBY CT from 13200 to Cowdray Park
CRCKSL,2022,Harris Park Ave,116032,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",680.583619,733,"MULTILINESTRING ((-97.733613906595 30.29267884525, -97.731729700642 30.291768749791))",BSHARMA,,758,Duval St,RATHERVUE PL,8/22/2021 19:00,,CRCKSL on RATHERVUE PL from Duval St to Harris Park Ave
SLCT6,2022,Barton Skwy,97275,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1195.471645,409,"MULTILINESTRING ((-97.784157280876 30.250269315122, -97.784035447496 30.249964356108, -97.783994864472 30.249552871477, -97.783970470551 30.24930573779, -97.783908797027 30.249001975818, -97.784375867499 30.248109166781, -97.784680730495 30.247570670104, -97.785052667862 30.247311288767))",BSHARMA,,391,Cedarview Dr,OAK HAVEN DR,8/22/2021 19:00,,SLCT6 on OAK HAVEN DR from Cedarview Dr to Barton Skwy
SLCT6,2022,High Hollow Dr,97259,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1038.428139,398,"MULTILINESTRING ((-97.801925995845 30.388294977946, -97.802005704502 30.388544102308, -97.802078342252 30.388701937892, -97.802415373557 30.389207083582, -97.803014560336 30.390090793433, -97.803181582087 30.390274577505, -97.803444340437 30.390462159001, -97.803735877005 30.390602560013))",BSHARMA,,380,Asmara Dr,MOONFLOWER DR,8/22/2021 19:00,,SLCT6 on MOONFLOWER DR from Asmara Dr to High Hollow Dr
SLCT6,2022,4014,97295,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1164.228739,425,"MULTILINESTRING ((-97.754930039802 30.222479799998, -97.756631462626 30.219640063394))",BSHARMA,,409,Ben White Svc,PAYLOAD PASS,8/22/2021 19:00,,SLCT6 on PAYLOAD PASS from Ben White Svc to 4014
SLCT6,2022,Del Curto Rd,97419,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",428.447533,468,"MULTILINESTRING ((-97.775971298115 30.243010424657, -97.777154992658 30.243586259057))",BSHARMA,,511,1801,VILLAGE OAK CT,8/22/2021 19:00,,SLCT6 on VILLAGE OAK CT from 1801 to Del Curto Rd
CRCKSL,2022,6309,116076,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",146.0498357,719,"MULTILINESTRING ((-97.74963987778 30.438977848192, -97.74998365175 30.438708521504))",BSHARMA,,802,Magnolia Mound Trl,WEEKS CV,8/22/2021 19:00,,CRCKSL on WEEKS CV from Magnolia Mound Trl to 6309
CRCKSL,2022,Bell Dr,116070,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",595.7403129,714,"MULTILINESTRING ((-97.889079685853 30.257696360194, -97.88985341973 30.25813740891, -97.890742773751 30.258454145282))",BSHARMA,,796,Travis Cook Rd,TRAVIS HILLS DR,8/22/2021 19:00,,CRCKSL on TRAVIS HILLS DR from Travis Cook Rd to Bell Dr
CRCKSL,2022,2911,115987,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",194.4172199,775,"MULTILINESTRING ((-97.814071615751 30.215191893271, -97.814240186394 30.215231788136, -97.814580408507 30.215475197551))",BSHARMA,,713,West Gate Blvd,LUTON CV,8/22/2021 19:00,,CRCKSL on LUTON CV from West Gate Blvd to 2911
SLCT6,2022,7Th St S,97244,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",3971.786093,301,"MULTILINESTRING ((-97.752440650673 30.245503274411, -97.753534955373 30.245805850613, -97.754718791627 30.24612729912, -97.756346587167 30.246569276566, -97.757798350298 30.246980768321, -97.759183680993 30.247448665414, -97.760616604864 30.24788449915, -97.762061986782 30.248328817648, -97.763212467034 30.248665441436, -97.764358571668 30.248988215365))",BSHARMA,,368,Eva St,W MARY ST,8/22/2021 19:00,,SLCT6 on W MARY ST from Eva St to 7Th St S
Overlay,2022,Long Bow Ln,97456,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",711.4674976,525,"MULTILINESTRING ((-97.753526660028 30.23876483651, -97.754721054689 30.237408825813, -97.75489535637 30.237210955462))",BSHARMA,,540,Oltorf St W,S CONGRESS AVE,8/22/2021 19:00,,Overlay on S CONGRESS AVE from Oltorf St W to Long Bow Ln
Overlay,2022,Eberhart Ln,116181,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1623.195968,836,"MULTILINESTRING ((-97.77995466418 30.202662974639, -97.780173654617 30.201924758558, -97.780363869347 30.201196969713, -97.780769679616 30.199739147156, -97.781235513205 30.199214873581, -97.78180982294 30.198599249759))",BSHARMA,,839,Flournoy Dr,MERRIWOOD DR,8/22/2021 19:00,,Overlay on MERRIWOOD DR from Flournoy Dr to Eberhart Ln
SLCT6,2022,Lismore Ln,97399,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",589.2563525,454,"MULTILINESTRING ((-97.618846805384 30.39061247383, -97.618700737668 30.390595548471, -97.618568577164 30.390581612658, -97.618479470314 30.390557503556, -97.618390781472 30.390518550902, -97.617888308497 30.390292915129, -97.617162691476 30.389943954467))",BSHARMA,,496,Cantarra Dr,TRALAGON TRL,8/22/2021 19:00,,SLCT6 on TRALAGON TRL from Cantarra Dr to Lismore Ln
CRCKSL,2022,3611,116063,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",224.9488831,707,"MULTILINESTRING ((-97.764532510895 30.229648675022, -97.764866926879 30.229102566967))",BSHARMA,,789,Alpine Rd W,TALLISON TER,8/22/2021 19:00,,CRCKSL on TALLISON TER from Alpine Rd W to 3611
Overlay,2022,Northdale Dr,96919,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",3943.604732,87,"MULTILINESTRING ((-97.676007754995 30.276210754344, -97.675171329306 30.277504596514, -97.675029964585 30.27772326241, -97.673967209667 30.279367119192, -97.671846550149 30.282579549252, -97.671440218877 30.283236703243, -97.671740750559 30.283916790098), (-97.669414891218 30.286315400814, -97.668274505849 30.28810785534))",BSHARMA,,91,Jackie Robinson St,TANNEHILL LN,8/22/2021 19:00,,Overlay on TANNEHILL LN from Jackie Robinson St to Northdale Dr
Overlay,2022,Old Castle rd,116193,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",2155.136908,784,"MULTILINESTRING ((-97.76351629856 30.213085111664, -97.762281132508 30.212614767544), (-97.768781216495 30.21516263246, -97.766921673698 30.214352541137, -97.763801610175 30.21319259856))",BSHARMA,,844,S Congress Ave,SHERATON AVE,8/22/2021 19:00,,Overlay on SHERATON AVE from S Congress Ave to Old Castle rd
SLCT6,2022,Jester Blvd,97390,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",175.8034684,558,"MULTILINESTRING ((-97.798446375934 30.381502300772, -97.798993436375 30.381409009738))",BSHARMA,,488,7401,TEAK CV,8/22/2021 19:00,,SLCT6 on TEAK CV from 7401 to Jester Blvd
SLCT6,2022,7914,97158,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",346.6054402,254,"MULTILINESTRING ((-97.799587397418 30.388044447598, -97.799149966775 30.388342353905, -97.798816493839 30.388713915627))",BSHARMA,,291,Jester Blvd,GOLDENROD CV,8/22/2021 19:00,,SLCT6 on GOLDENROD CV from Jester Blvd to 7914
SLCT6,2022,Greystone Dr,97095,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",998.3214188,176,"MULTILINESTRING ((-97.769020980598 30.366157823145, -97.769708381043 30.366548361079, -97.769807791188 30.3665779064, -97.769936530127 30.366616178808, -97.770223117693 30.366663161202, -97.770596016852 30.366714617856, -97.770777700567 30.366770504304, -97.770921478831 30.366850386296, -97.77108223294 30.367007616776, -97.771102714521 30.367028213424, -97.771182631497 30.367108634606, -97.771234602676 30.367241689099, -97.771156346327 30.367680180374))",BSHARMA,,239,West Rim Dr,DEEPWOODS DR,8/22/2021 19:00,,SLCT6 on DEEPWOODS DR from West Rim Dr to Greystone Dr
SLCT6,2022,Highland Haven Dr,97014,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",2659.797283,141,"MULTILINESTRING ((-97.671315609618 30.261592236565, -97.670140235864 30.261408002635, -97.670053744326 30.261391681016, -97.669991180033 30.261379875726, -97.669655538678 30.261325371492, -97.669345979171 30.261286728321, -97.669176940726 30.261271539797, -97.668923038494 30.261248724499, -97.668325785935 30.261230994442, -97.668148262284 30.261227576759, -97.667631251703 30.261202271334, -97.6674057123 30.261168424476, -97.666519666077 30.261054298833, -97.666552323789 30.260913498766, -97.666570344442 30.260780700197, -97.666578890774 30.260645641638, -97.666572224649 30.260539420526, -97.666560433929 30.260445524489, -97.666512838866 30.260261595371, -97.667382214121 30.26010895486, -97.668242326532 30.259775269474, -97.668603886847 30.25963597277, -97.669003529337 30.259492861845))",BSHARMA,,173,6500,BAY CITY BND,8/22/2021 19:00,,SLCT6 on BAY CITY BND from 6500 to Highland Haven Dr
